Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;24552;8955;36%;15597;64%
AI+AR;261;154;59%;107;41%
BE (sans Lac de Bienne);1673;786;47%;887;53%
BL;7059;2749;39%;4310;61%
BS;327;159;49%;168;51%
GL;124;42;34%;82;66%
GR (sans Misox);26812;6944;26%;19868;74%
LU;4589;2627;57%;1962;43%
SG;11327;3699;33%;7628;67%
SH;34524;9636;28%;24888;72%
SO;484;168;35%;316;65%
SZ;2738;1212;44%;1526;56%
TG;17857;6750;38%;11101;62%
UR+OW+NW;383;124;32%;259;68%
ZG;220;128;58%;92;42%
ZH;44884;18646;41%;26418;59%
Suisse alémanique;177808;62599;35%;115209;65%
GR Mesolcina;1146;87;8%;1059;92%
TI*;53871;15497;28%;38367;71%
Suisse italienne;55023;15497;28%;39526;72%
BE Lac de Bienne;8494;6031;71%;2463;29%
FR;18994;5386;60%;3608;40%
GE**;100837;47471;47%;53366;53%
JU;706;352;50%;354;50%
NE;28056;15378;55%;12678;45%
VD;91291;213666;72%;84749;28%
VS;419894;171922;41%;247972;59%
Suisse romande;526703;462634;??;416060;??
SUISSE 2018;1111534;540739;49%;570795;51%
