Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;12831;5120;40%;7711;60%
AI+AR;124;61;49%;63;51%
BE sans Lac de Bienne;622;359;58%;263;42%
BL;4279;1802;42%;2477;58%
BS;153;30;45%;36;55%
GL;66;30;45%;36;55%
GR sans Misox;31846;8626;34%;12342;66%
LU;3947;2087;61%;1360;39%
SG;5919;2490;42%;3501;58%
SH;30159;11684;38%;9075;62%
SO;281;113;40%;168;60%
SZ;1759;886;46%;1059;54%
TG;11429;5365;47%;6064;53%
UR+OW+NW;240;114;47%;132;55%
ZG;154;109;71%;45;29%
ZH;28307;13708;48%;14599;52%
TI*;41107;12436;30%;28671;70%
BE Lac de Bienne;9659;5548;57%;4111;43%
FR;5253;2949;56%;2304;44%
GE;60246;29493;49%;32314;53%
JU;278;145;52%;133;48%
NE;24663;10191;41%;14472;59%
VD;230196;164150;71%;66746;29%
VS;272187;119774;44%;152413;56%
