Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;15488;5148;33%;10340;67%
AI+AR;148;78;53%;70;47%
BE (ohne Bielersee);1234;634;51%;600;49%
BL;6022;2123;35%;3899;65%
BS;284;129;45%;155;55%
GL;96;34;35%;62;65%
GR (ohne Misox);21963;5633;26%;16330;74%
LU;2992;1693;57%;1299;43%
SG;8828;2666;30%;6142;70%
SH;25467;6612;26%;18855;74%
SO;389;158;41%;231;59%
SZ;1955;763;39%;1192;61%
TG;13512;5093;38%;8419;62%
UR+OW+NW;194;64;33%;130;67%
ZG;86;49;57%;37;43%
ZH;27706;11126;40%;16580;60%
Deutschschweiz;126364;42023;33%;84342;67%
GR Mesolcina;1143;81;7%;1062;93%
TI*;58924;14655;25%;43837;75%
Svizzera italiana;59635;14736;25%;44989;75%
BE Lac de Bienne;14531;8599;59%;5931;41%
FR;68142;4871;60%;3271;40%
GE**;114276;53117;46%;61159;54%
JU;229;115;50%;114;50%
NE;36076;15516;43%;20560;57%
VD;303779;218289;72%;85490;28%
VS;419070;169149;40%;249921;60%
Suisse romande;970740;469656;53%;421084;47%
SCHWEIZ / SUISSE 2016;1076739;526415;49%;550324;51%
