Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct;Diff_hl;Diff_pct
ZH;35434;14392;41%;21042;59%;5226;17.3%
BE Thunersee;1075;538;50%;537;50%;-209;-16.3%
LU;2485;1349;54%;1136;46%;77;3.2%
UR+OW+NW;152;39;26%;113;74%;35;29.9%
SZ;2373;922;39%;1451;61%;529;28.7%
GL;110;42;38%;68;62%;53;93.0%
ZG;112;66;59%;46;41%;33;41.8%
SO;329;105;32%;224;68%;10;3.1%
BS;195;81;41%;114;59%;-69;-26.3%
BL;5653;1937;34%;3716;66%;27;0.5%
SH;30759;7736;25%;23023;75%;280;0.9%
AR+AI;206;100;48%;106;51%;76;58.5%
SG;8297;2479;30%;5818;70%;1798;27.7%
GR(-Mesolcina);23748;5937;25%;17811;75%;-679;-2.8%
AG;19674;6905;35%;12769;65%;-136;-0.7%
TG;14459;5356;37%;9103;63%;1126;8.4%
Deutschschweiz;145065;47984;33%;97081;67%;17550;13.8%
Mesolcina(GR);1048;75;7%;973;93%;-283;-21.3%
TI2;49677;13668;28%;36009;72%;-9702;-16.4%
Svizzera italiana;50563;13743;27%;36820;73%;-9985;-16.5%
BE Lac de Bienne;11148;6290;55%;5128;45%;3075;36.9%
FR;7189;4443;62%;2746;38%;759;11.8%
VD;246826;176240;71%;70586;29%;35012;16.5%
VS;346985;138308;40%;208677;60%;19543;6.0%
NE;29503;12161;41%;17342;59%;15669;113.3%
GE3;95734;44563;47%;51171;53%;13398;16.3%
JU;350;192;64%;158;36%;-10;-2.9%
Suisse romande;738021;382201;52%;355820;48%;87455;13.4%
SCHWEIZ SUISSE;933649;443928;48%;489721;52%;95020;11.3%
