Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
ZH;31823;11252;35%;20571;65%
BE Thunersee;1282;638;50%;644;50%
LU;1922;869;45%;1053;55%
UR+OW+NW;134;45;33%;89;67%
SZ;1478;521;35%;956;65%
GL;64;18;28%;46;72%
ZG;38;24;65%;13;35%
SO;337;117;35%;220;65%
BS;260;139;53%;121;47%
BL;5513;1696;31%;3817;69%
SH;30452;6242;20%;24210;80%
AR+AI;148;67;45%;81;55%
SG;7437;1886;26%;5460;74%
GR (Mescolina);23931;4664;20%;18728;80%
AG;18540;6012;32%;12528;68%
TG;14138;4779;34%;9359;66%
TI;53308;12921;24%;40388;76%
BE Lac de Bienne;12348;7421;60%;4927;40%
FR;8024;5226;65%;2799;35%
VD;286827;206848;72%;79879;28%
VS;397370;162494;41%;234876;59%
NE;31618;15773;50%;15845;50%
GE;102968;46986;46%;55982;54%
JU;377;234;62%;143;38%
