Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;16645;6318;38%;10327;62%
AI+AR;106;57;54%;49;46%
BE (sans Lac de Bienne);1212;597;55%;525;47%
BL;5171;2078;40%;3093;60%
BS;202;108;53%;94;47%
GL;97;37;38%;61;62%
GR (sans Misox);15840;4977;31%;10863;69%
LU;3191;1818;57%;1373;43%
SG;6355;2161;34%;4194;66%
SH;22456;6646;30%;15810;70%
SO;462;175;38%;247;59%
SZ;1363;628;46%;735;54%
TG;11282;4660;41%;6822;59%
UR+OW+NW;249;98;39%;153;61%
ZG;164;104;63%;60;37%
ZH;31080;12995;42%;18085;58%
Suisse alémanique;115948;43547;37%;72491;63%
GR Mesolcina;901;98;11%;803;89%
TI*;48435;16072;33%;32363;67%
Suisse italienne;49336;16170;33%;33166;67%
BE Lac de Bienne;9638;5596;58%;4042;42%
FR;4922;2811;57%;2111;43%
GE**;85408;39340;46%;46068;54%
JU;552;264;48%;288;52%
NE;24171;10965;45%;13206;55%
VD;237740;166873;70%;70867;30%
VS;395251;182879;46%;212372;54%
Suisse romande;668951;353517;53%;315434;47%
SUISSE 2020;834235;413744;50%;421091;50%
