Section;Origine;Variable;2018;2019;2020;2021;Unité
Vin blanc;Italie;Stocks début année;30196;31137;30597;34921;hl
Vin blanc;Italie;Importations;115535;132926;129440;119683;hl
Vin blanc;Italie;Disponibilités;145731;164063;160037;154604;hl
Vin blanc;Italie;Stocks fin année;31137;30597;34921;32084;hl
Vin blanc;Italie;Consommation;114594;133466;125116;122520;hl
Vin blanc;France;Stocks début année;18758;21588;19779;23461;hl
Vin blanc;France;Importations;75530;81337;87161;90001;hl
Vin blanc;France;Disponibilités;94288;102925;106940;113462;hl
Vin blanc;France;Stocks fin année;21588;19779;23461;21810;hl
Vin blanc;France;Consommation;72700;83146;83479;91652;hl
Vin blanc;Espagne;Stocks début année;11616;11926;9750;8678;hl
Vin blanc;Espagne;Importations;43779;65762;54169;72919;hl
Vin blanc;Espagne;Disponibilités;55395;77688;63919;81597;hl
Vin blanc;Espagne;Stocks fin année;11926;9750;8678;8143;hl
Vin blanc;Espagne;Consommation;43469;67938;55241;73454;hl
Vin rouge;Italie;Stocks début année;173978;170943;156035;151701;hl
Vin rouge;Italie;Importations;476688;492036;509634;515161;hl
Vin rouge;Italie;Disponibilités;650666;662979;665669;666862;hl
Vin rouge;Italie;Stocks fin année;170943;156035;151701;150263;hl
Vin rouge;Italie;Consommation;479723;506944;513968;516599;hl
Vin rouge;France;Stocks début année;96902;107272;94560;90532;hl
Vin rouge;France;Importations;258566;254039;262898;279364;hl
Vin rouge;France;Disponibilités;355468;361311;357458;369896;hl
Vin rouge;France;Stocks fin année;107272;94560;90532;98923;hl
Vin rouge;France;Consommation;248196;266751;266926;270973;hl
Vin rouge;Espagne;Stocks début année;67132;64682;58791;57990;hl
Vin rouge;Espagne;Importations;187902;194094;194927;193948;hl
Vin rouge;Espagne;Disponibilités;255034;258776;253718;251938;hl
Vin rouge;Espagne;Stocks fin année;64682;58791;57990;57285;hl
Vin rouge;Espagne;Consommation;190352;199985;195728;194653;hl
