Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;7682;2607;34%;5075;66%
AI+AR;118;57;48%;61;52%
BE (sans Lac de Bienne);455;220;48%;235;52%
BL;3337;1328;40%;2009;60%
GL;21;8;38%;13;62%
GR (sans Misox);21374;6378;30%;15096;70%
LU;1875;1207;64%;668;36%
SG;4839;1797;37%;3042;63%
SH;15831;4672;30%;11159;70%
SO;185;75;41%;110;59%
SZ;1539;442;47%;495;53%
TG;5550;2588;47%;2962;53%
UR+OW+NW;191;69;36%;122;64%
ZG;79;54;68%;25;32%
ZH;18760;8079;43%;10681;57%
GR Mesolcina;524;46;9%;478;91%
TI*;45624;15244;33%;30380;67%
BE Lac de Bienne;7334;4044;55%;3290;45%
FR;4688;2734;58%;1954;42%
GE;76506;36500;48%;40006;52%
JU;118;49;42%;69;58%
NE;19552;8161;42%;11391;58%
VD;191463;139824;73%;51639;27%
VS;481352;271236;56%;210116;44%
