Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;21336;8164;38%;13172;62%
AI+AR;133;62;47%;71;53%
BE sans Lac de Bienne;1573;810;51%;763;49%
BL;6805;2806;41%;4059;59%
BS;331;183;55%;148;45%
GL;82;36;44%;58;56%
GR sans Misox;22957;7082;31%;15875;69%
LU;5750;3478;60%;2272;40%
SG;9438;3273;35%;5165;61%
SH;36161;11331;31%;24830;69%
SO;563;240;43%;323;57%
SZ;2320;1121;48%;1199;52%
TG;15908;6976;44%;8932;56%
UR+OW+NW;371;178;48%;193;52%
ZG;300;205;68%;95;32%
ZH;41902;18835;45%;23067;55%
TI*;48834;17428;36%;31456;64%
BE Lac de Bienne;14067;8106;58%;5961;42%
FR;8262;4803;58%;3459;42%
GE;77010;38575;50%;38435;50%
JU;510;285;56%;225;44%
NE;34999;14034;40%;20959;60%
VD;287017;203291;71%;84808;29%
VS;365806;157547;43%;208259;57%
