Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
VS;432857;173371;40%;259486;60%
VD;307022;216199;70%;90823;30%
GE;115094;53695;47%;61399;53%
TI;53949;14050;26%;39900;74%
ZH;38008;14174;37%;23834;63%
NE;34516;17143;50%;17373;50%
SH;26211;6469;25%;19742;75%
GR;25251;5412;21%;19839;79%
AG;20829;7298;35%;13532;65%
BE;16996;10314;61%;6682;39%
TG;16922;5909;35%;11013;65%
SG;10982;2854;26%;8128;74%
FR;8703;5422;62%;3282;38%
BL;7354;2413;33%;4941;67%
LU;2396;1116;47%;1279;53%
SZ;1121;420;37%;701;63%
JU;455;270;59%;185;41%
SO;444;153;34%;291;66%
BS;353;162;46%;190;54%
AR+AI;234;82;35%;152;65%
UR+OW+NW;169;56;33%;113;67%
ZG;99;60;60%;40;40%
GL;94;29;31%;65;69%
