Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;18956;6095;32%;12861;68%
AI+AR;119;48;40%;72;61%
BE (ohne Bielersee);1014;459;45%;555;55%
BL;5656;1955;35%;3700;65%
BS;246;106;43%;140;57%
GL;90;29;32%;61;68%
GR (ohne Misox);22549;5228;23%;17321;77%
LU;2467;1329;54%;1138;46%
SG;8542;2257;26%;6285;74%
SH;26992;6025;23%;20667;77%
SO;312;120;38%;192;62%
SZ;1658;628;38%;1030;62%
TG;13442;4876;36%;8566;64%
UR+OW+NW;257;72;28%;185;72%
ZG;84;42;50%;42;50%
ZH;32439;12269;38%;20170;62%
Deutschschweiz;134523;41538;31%;92985;69%
GR Mesolcina;977;74;8%;902;92%
TI*;44030;11279;26%;32752;74%
Svizzera italiana;45007;11153;25%;33654;75%
BE Lac de Bienne;11433;6563;58%;4779;42%
FR;6635;4106;62%;2529;38%
GE**;77433;35202;45%;42231;55%
JU;209;80;38%;129;62%
NE;29439;13599;39%;15839;54%
VD;218026;154092;71%;63934;29%
VS;327381;129473;39%;197908;61%
Suisse romande;670921;343115;51%;327804;49%
SCHWEIZ / SUISSE 2015;850451;396006;47%;454443;53%
