Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;20290;7089;35%;13201;65%
AI+AR;83;40;48%;43;52%
BE sans Lac de Bienne;1250;625;51%;601;49%
BL;5287;2262;39%;3595;61%
BS;301;153;50%;148;49%
GL;90;32;36%;58;64%
GR sans Misox;25675;7360;29%;18315;71%
LU;4140;2368;57%;1772;43%
SG;9035;3060;34%;5975;66%
SH;34173;9992;29%;24181;71%
SO;362;153;42%;209;58%
SZ;2165;950;44%;1215;56%
TG;15449;6123;40%;9326;60%
UR+OW+NW;191;120;63%;71;37%
ZG;220;130;68%;61;32%
ZH;39462;16278;41%;23189;59%
TI*;49386;15720;31%;34266;69%
BE Lac de Bienne;13502;7494;55%;6008;44%
FR;8391;4958;59%;3433;41%
GE;365690;14141;40%;20926;60%
JU;359;197;55%;162;45%
NE;305767;102151;33%;203616;67%
VD;273762;197051;72%;76711;28%
VS;368056;161232;44%;207324;56%
